D,d,theta,z,Delta,U,nh,A,m2,status,message,W,u_star_proxy,Phi_at_ustar,relative_portal_shift
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.08125,12.307692307692307,0.017222716800054955,0.0002966219739748952
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.08333333333333334,11.999999999999998,0.017771013537542443,0.00031580892215151676
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.08541666666666667,11.707317073170731,0.018322369313241167,0.0003357092172508016
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.0875,11.428571428571429,0.01887671177085177,0.00035633024727981373
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.08958333333333333,11.162790697674419,0.019433971301582205,0.00037767924055072074
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.09166666666666667,10.909090909090908,0.019994080868733864,0.0003997632697854695
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.09375,10.666666666666666,0.020556975839943745,0.0004225892556840308
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.09583333333333333,10.434782608695652,0.02112259382146284,0.0004461639697465002
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.09791666666666667,10.212765957446809,0.021690874580759564,0.0004704940400782414
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.1,10.0,0.022261759949535536,0.0004955859560507444
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.10208333333333333,9.795918367346939,0.022835193609609908,0.0005214460671883692
