alpha_dm,gamma,mu_ratio,stress,fd,old_mu,old_stress
0.616,-0.4208111177117506,0.9148651013104262,0.9178623482793745,0.15044151322742025,0.9513863568498342,0.9051359999999999
0.62,-0.42421195542291146,0.9134962654129003,0.916944370761525,0.15251061581928793,0.9507365565707464,0.9039
0.624,-0.4276164041640385,0.9121145218251723,0.9160231529118223,0.15458840443071917,0.9500821017154254,0.902656
0.628,-0.4310242654145492,0.9107198756014528,0.9150986786958148,0.15667460825110416,0.9494229826584145,0.901404
0.632,-0.4344353382889876,0.909312333926102,0.9141709293556269,0.15876895346421505,0.9487591896788141,0.900144
0.636,-0.4378494195895975,0.9078919061274499,0.9132398833759634,0.16087116338329943,0.948090712959472,0.898876
0.64,-0.4412663038609861,0.9064586036904453,0.912305516452105,0.16298095858909598,0.9474175425861608,0.8976
0.644,-0.44468578344684817,0.9050124402681141,0.9113678014599669,0.16509805707061778,0.9467396685467447,0.896316
0.648,-0.44810764854870966,0.9035534316917994,0.91042670842829,0.16722217436853812,0.9460570807303331,0.895024
0.652,-0.451531687286683,0.9020815959801577,0.9094822045130415,0.1693530237210329,0.9453697689264238,0.893724
0.656,-0.4549576857621822,0.9005969533468927,0.908534253974089,0.17149031621190075,0.9446777228240327,0.892416
0.66,-0.4583854281225731,0.8990995262071994,0.9075828181542164,0.1736337609207989,0.9439809320108113,0.8911
0.664,-0.46181469662771124,0.8975893391829046,0.9066278554605447,0.1757830650754142,0.943279385972152,0.889776
0.668,-0.465245271718329,0.8960664191062829,0.9056693213484179,0.17793793420539472,0.9425730740902798,0.888444
0.672,-0.468676932086222,0.894530795022531,0.904707168307812,0.18009807229785654,0.9418619856433319,0.887104
0.676,-0.47210945474619714,0.8929824981908832,0.9037413458523222,0.18226318195428837,0.9411461098044235,0.885756
0.68,-0.4755426151097121,0.8914215620843605,0.9027718005107794,0.18443296454865407,0.9404254356406998,0.8844
0.684,-0.47897618706016515,0.8898480223881365,0.9017984758215413,0.18660712038651278,0.939699952112375,0.8830359999999999
0.6880000000000001,-0.4824099430297802,0.8882619169965079,0.900821312329507,0.18878534886496534,0.9389696480717574,0.881664
0.6920000000000001,-0.48584365407801,0.8866632860084694,0.8998402475858901,0.19096734863322384,0.9382345122622595,0.880284
0.6960000000000001,-0.48927708997141367,0.8850521717218771,0.8988552161507909,0.193152817753622,0.9374945333173949,0.878896
0.7000000000000001,-0.4927100192649295,0.8834286186262026,0.8978661495985965,0.19534145386286228,0.9367496997597597,0.8775
0.704,-0.4961422093844818,0.88179267339387,0.8968729765262398,0.19753295433331006,0.9359999999999999,0.876096
0.708,-0.4995734267108461,0.8801443848701784,0.8958756225643381,0.19972701643413562,0.9352454223357631,0.874684
0.712,-0.5030034366647054,0.8784838040618078,0.894874010391234,0.20192333749211336,0.9344859549506349,0.873264
0.716,-0.5064320037928189,0.8768109841239129,0.8938680597499515,0.20412161505188312,0.9337215859130601,0.871836
0.72,-0.5098588918552232,0.8751259803458092,0.8928576874680756,0.20632154703547906,0.9329523031752481,0.8704000000000001
0.724,-0.5132838639133945,0.8734288501352573,0.8918428074805664,0.20852283190094198,0.9321780945720619,0.8689560000000001
0.728,-0.5167066824192833,0.8717196530013531,0.8908233308555038,0.21072516879982067,0.931398947819891,0.867504
0.732,-0.5201271093051422,0.869998450536038,0.8897991658227592,0.21292825773338178,0.9306148505155073,0.866044
0.736,-0.523544906074063,0.868265306394235,0.8887702178055891,0.2151317997073435,0.9298257901349047,0.864576
0.74,-0.5269598338911375,0.8665202862726319,0.8877363894551333,0.2173354968849562,0.9290317540321213,0.8631
0.744,-0.5303716536751518,0.8647634578871216,0.8866975806878021,0.2195390527382523,0.9282327294380435,0.8616159999999999
0.748,-0.5337801261907335,0.8629948909489211,0.8856536887255266,0.22174217219729894,0.9274287034591931,0.860124
0.752,-0.5371850121408511,0.8612146571393878,0.8846046081388463,0.2239445617972799,0.9266196630764966,0.858624
0.756,-0.5405860722595917,0.8594228300835531,0.8835502308928012,0.22614592982325452,0.9258055951440345,0.857116
0.76,-0.5439830674051132,0.857619485322399,0.8824904463955898,0.2283459864524298,0.9249864863877743,0.8556
0.764,-0.5473757586526864,0.8558047002839,0.8814251415499517,0.23054444389379627,0.9241623234042816,0.8540760000000001
0.768,-0.5507639073877361,0.8539785542528601,0.8803542008072254,0.23274101652498422,0.9233330926594151,0.852544
0.772,-0.554147275398791,0.8521411283395681,0.8792775062240369,0.23493542102620035,0.9224987804869987,0.851004
0.776,-0.5575256249702467,0.8502925054473066,0.8781949375215526,0.23712737651110755,0.9216593730874764,0.849456
0.78,-0.5608987189748594,0.8484327702387412,0.8771063721472481,0.23931660465452856,0.920814856526544,0.8479
0.784,-0.56426632096587,0.8465620091012255,0.876011685339116,0.2415028298168431,0.9199652167337632,0.846336
0.788,-0.56762819526868,0.8446803101110542,0.8749107501922588,0.2436857791649754,0.9191104395011516,0.844764
0.792,-0.5709841070719823,0.8427877629967006,0.873803437727779,0.2458651827898578,0.918250510481753,0.8431839999999999
0.796,-0.5743338225182604,0.8408844591010746,0.8726896169639013,0.24804077382027262,0.9173854151881858,0.841596
0.8,-0.5776771087935727,0.8389704913428393,0.871569154989243,0.25021228853298233,0.916515138991168,0.84
0.804,-0.5810137342165335,0.8370459541768243,0.8704419170381477,0.2523794664590599,0.9156396671180208,0.8383959999999999
0.808,-0.5843434683264044,0.835110943553577,0.8693077665679968,0.2545420504863416,0.9147589846511484,0.836784
0.812,-0.5876660819702211,0.8331655568780901,0.8681665653384111,0.2566997869579352,0.9138730765264945,0.835164
0.8160000000000001,-0.5909813473888639,0.8312098929677507,0.8670181734922442,0.25885242576671497,0.9129819275319747,0.8335359999999999
0.8200000000000001,-0.594289038302002,0.8292440520095498,0.8658624496382766,0.26099972044575226,0.9120855223058855,0.8319
0.8240000000000001,-0.5975889299918289,0.8272681355165975,0.8646992509355118,0.26314142825463144,0.9111838453352868,0.830256
0.8280000000000001,-0.6008807993855156,0.825282246283987,0.8635284331789692,0.2652773102616107,0.9102768809543611,0.828604
0.8320000000000001,-0.6041644251363097,0.823286488344052,0.8623498508868779,0.2674071314215948,0.9093646133427449,0.8269439999999999
0.836,-0.6074395877032053,0.8212809669210622,0.8611633573891604,0.26953066064989106,0.9084470265238365,0.825276
0.84,-0.6107060694291246,0.8192657883853995,0.8599688049171061,0.2716476708917358,0.9075241043630742,0.8236
0.844,-0.6139636546175323,0.8172410602072675,0.8587660446941192,0.2737579391875692,0.9065958305661901,0.821916
0.848,-0.617212129607431,0.8152068909099697,0.8575549270274387,0.2758612467340631,0.905662188677434,0.8202240000000001
0.852,-0.6204512828466744,0.8131633900228107,0.8563353014007173,0.2779573789409002,0.9047231620777706,0.818524
0.856,-0.6236809049635371,0.8111106680336612,0.8551070165673489,0.28004612548331115,0.9037787339830474,0.816816
0.86,-0.6269007888364895,0.8090488363412348,0.8538699206444318,0.2821272803503874,0.9028288874421332,0.8151
0.864,-0.6301107296621252,0.8069780072071214,0.8526238612072596,0.28420064188919003,0.9018736053350269,0.813376
0.868,-0.633310525021193,0.8048982937076213,0.8513686853842236,0.2862660128446829,0.9009128703709366,0.811644
0.872,-0.6364999749426857,0.802809809685428,0.8501042399520177,0.2883232003955226,0.899946665086326,0.809904
0.876,-0.6396788819659469,0.8007126697012004,0.8488303714310343,0.2903720161857474,0.8989749718429317,0.808156
0.88,-0.6428470512007501,0.7986069889850723,0.8475469261808397,0.29241227635240463,0.8979977728257459,0.8064
0.884,-0.6460042903853211,0.796492883388141,0.8462537504956185,0.2944438015491732,0.8970150500409678,0.804636
