D,scan,x,W,case,baseline_value,response_value,response_ratio,relative_to_visible,observable
3,theta,0.1,0.1,II,7.508465326929988e-05,6.5441467802584e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.1,0.1,III-a,7.508465326929988e-05,7.508465326929988e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.1,0.1,III-b,7.508465326929988e-05,7.51534718367375e-05,1.0009165463838636,0.0009165463838636256,DeltaS_int^(2)
3,theta,0.125,0.1,vis,7.517089252887283e-05,7.517089252887283e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.125,0.1,I,7.517089252887283e-05,7.517089252887283e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.125,0.1,II,7.517089252887283e-05,6.55166312811769e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.125,0.1,III-a,7.517089252887283e-05,7.517089252887283e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.125,0.1,III-b,7.517089252887283e-05,7.524022735396965e-05,1.0009223626694361,0.0009223626694361275,DeltaS_int^(2)
3,theta,0.15000000000000002,0.1,vis,7.526382431108306e-05,7.526382431108306e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.15000000000000002,0.1,I,7.526382431108306e-05,7.526382431108306e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.15000000000000002,0.1,II,7.526382431108306e-05,6.55976277560695e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.15000000000000002,0.1,III-a,7.526382431108306e-05,7.526382431108306e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.15000000000000002,0.1,III-b,7.526382431108306e-05,7.53336570545968e-05,1.0009278394255534,0.0009278394255534117,DeltaS_int^(2)
3,theta,0.17500000000000002,0.1,vis,7.536312449644931e-05,7.536312449644931e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.17500000000000002,0.1,I,7.536312449644931e-05,7.536312449644931e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.17500000000000002,0.1,II,7.536312449644931e-05,6.568417473471945e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.17500000000000002,0.1,III-a,7.536312449644931e-05,7.536312449644931e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.17500000000000002,0.1,III-b,7.536312449644931e-05,7.543343770722913e-05,1.0009329922458712,0.0009329922458711781,DeltaS_int^(2)
3,theta,0.2,0.1,vis,7.546846896549026e-05,7.546846896549026e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.2,0.1,I,7.546846896549026e-05,7.546846896549026e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.2,0.1,II,7.546846896549026e-05,6.577598972458426e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.2,0.1,III-a,7.546846896549026e-05,7.546846896549026e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.2,0.1,III-b,7.546846896549026e-05,7.553924619241085e-05,1.0009378383832452,0.0009378383832452375,DeltaS_int^(2)
3,theta,0.225,0.1,vis,7.557953359872463e-05,7.557953359872463e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.225,0.1,I,7.557953359872463e-05,7.557953359872463e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.225,0.1,II,7.557953359872463e-05,6.587279023312153e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.225,0.1,III-a,7.557953359872463e-05,7.557953359872463e-05,1.0,0.0,DeltaS_int^(2)
