point_key,delta2,alpha_dm,mu_X,mu_c,w0,success,message,residual_inf,temperature,mu,source,vev,rho,rho_d,epsilon,p_bar,Omega_ren,minus_p_bar,psi_abs,psi_sq,mu_minus_mu_c,accepted
d0.10_a0.8_nu0.0,0.1,0.8,0.0,3.4599435696228706,0.04,True,,1.5543122344752192e-15,0.19125794997045645,3.461102240783784,-3.968179951296946e-17,0.12907019802825764,0.6924090603320705,0.27701304967358253,2.689943985366881,0.8912617804362526,-0.9082637060231027,-0.8912617804362526,0.12907019802825764,0.016659116019053642,0.0011586711609132827,True
d0.10_a0.8_nu0.0,0.1,0.8,0.0,3.4599435696228706,0.06,True,,1.1102230246251565e-15,0.19128508218482693,3.4614816126480847,8.088148206741863e-17,0.19364047716471405,0.692720772058955,0.27719953523496577,2.6908480891861473,0.8915680995296498,-0.9088717438616549,-0.8915680995296498,0.19364047716471405,0.037496634396578146,0.0015380430252140975,True
d0.10_a0.8_nu0.0,0.1,0.8,0.0,3.4599435696228706,0.08,True,,5.551115123125783e-16,0.1913230474832179,3.4620127478495104,-5.854691731421724e-18,0.2582529790127695,0.6931572992632358,0.2774607027002884,2.692114401210347,0.8919971414179599,-0.9097231659752905,-0.8919971414179599,0.2582529790127695,0.06669460116896997,0.0020691782266397674,True
d0.10_a0.8_nu0.5,0.1,0.8,0.5,3.465196928053538,0.02,True,,1.1546319456101628e-14,0.1734997075464892,3.4660706395245615,4.087442190270352e-17,0.06231048231591596,0.7332608427559452,0.37731699735052765,2.855459448151123,0.9456758544993136,-0.9648637419696148,-0.9456758544993136,0.06231048231591596,0.0038825962064420756,0.0008737114710233307,True
d0.10_a0.8_nu0.5,0.1,0.8,0.5,3.465196928053538,0.04,True,,5.551115123125783e-16,0.17352009639491106,3.46630655481892,2.3201926491189795e-17,0.12463593487755383,0.7334481995787312,0.3774299273798391,2.8560149497307066,0.9458633259600902,-0.9653152359479952,-0.9458633259600902,0.12463593487755383,0.015534116262801838,0.0011096267653818437,True
d0.10_a0.8_nu0.5,0.1,0.8,0.5,3.465196928053538,0.06,True,,4.996003610813204e-16,0.17355406918355532,3.4666997253101783,4.83554168928535e-17,0.18699133070048574,0.7337605155631395,0.37761818339253167,2.856941046542488,0.9461758685074528,-0.9660678003953124,-0.9461758685074528,0.18699133070048574,0.03496575775713842,0.0015027972566401537,True
d0.10_a0.8_nu0.5,0.1,0.8,0.5,3.465196928053538,0.08,True,,1.6653345369377348e-14,0.1736016086191117,3.467250178234066,2.239961688355052e-15,0.24939165002659422,0.7341979122792379,0.3778818433695484,2.858238178742795,0.9466136329065193,-0.9671216617295899,-0.9466136329065193,0.24939165002659422,0.06219619510298725,0.0020532501805279324,True
d0.10_a0.8_nu1.0,0.1,0.8,1.0,3.459038440285072,0.02,True,,6.661338147750939e-16,0.1513455084801809,3.4598410808932045,1.5173409403934635e-16,0.059348612727475894,0.7720140406647755,0.47681849122311665,3.0628082476941927,1.013851330444595,-1.035988011637567,-1.013851330444595,0.059348612727475894,0.003522257832675914,0.0008026406081325099,True
d0.10_a0.8_nu1.0,0.1,0.8,1.0,3.459038440285072,0.04,True,,6.661338147750939e-16,0.15137015496842848,3.460086953089319,3.903127820947816e-18,0.11871329784655055,0.7722007125015423,0.4769317912717033,3.0633764994418016,1.014042300708752,-1.0365236359658914,-1.014042300708752,0.11871329784655055,0.014092847085603823,0.0010485128042470038,True
d0.10_a0.8_nu1.0,0.1,0.8,1.0,3.459038440285072,0.06,True,,8.881784197001252e-16,0.1514112208157299,3.4604967359258856,5.421010862427522e-17,0.17811013431048278,0.7725119235471037,0.47712068537553604,3.06432387825771,1.0143606845585964,-1.037416554987924,-1.0143606845585964,0.17811013431048278,0.03172321994409821,0.0014582956408135672,True
