D,d,theta,z,mu,F_aniso,F_iso,DeltaF,T_deltaF,quad_err,success,solver_message
4,2,3.0,1.5,9.189405511120208,-316.6931435920976,-316.6694011792742,-0.02374241282342382,-0.023737952612596414,1.006232004274743e-05,True,The algorithm converged to the desired accuracy.
4,2,3.0,2.0,11.5580904781901,-534.4005808493233,-534.3578220081147,-0.04275884120863793,-0.04273280132532409,8.799222842625909e-05,True,The algorithm converged to the desired accuracy.
4,2,3.0,2.5,13.939173329412734,-825.8475594043473,-825.7773507064979,-0.07020869784935257,-0.0700935658456547,0.00037024980601696456,True,The algorithm converged to the desired accuracy.
4,2,3.0,3.0,16.323304429545136,-1199.1341431343396,-1199.0262037482353,-0.10793938610436271,-0.10752213315111123,0.0010464342672502625,True,The algorithm converged to the desired accuracy.
4,2,3.0,4.0,21.08083001241618,-2222.2292495364786,-2222.0069700619338,-0.2222794745448482,-0.21868959859186554,0.006629671209829269,True,The algorithm converged to the desired accuracy.
4,2,3.0,5.0,25.810011673819286,-3664.265045151503,-3663.861864314783,-0.4031808367199119,-0.3826673150765782,0.031777861825759146,True,The algorithm converged to the desired accuracy.
4,2,4.0,1.0,14.92090705729076,-1001.9407703802846,-1001.8506033553915,-0.09016702489304862,-0.0899234615255206,0.000923659344598704,True,The algorithm converged to the desired accuracy.
4,2,4.0,1.5,10.318599989532913,-505.7971969206481,-505.74915228394605,-0.04804463670205905,-0.048007703863694164,0.0008377313138545617,True,The algorithm converged to the desired accuracy.
4,2,4.0,2.0,12.642710953885581,-799.270647448795,-799.1907013174923,-0.0799461313026768,-0.0797762434776876,0.002387444488924473,True,The algorithm converged to the desired accuracy.
4,2,4.0,2.5,14.97709015484203,-1177.7681558221725,-1177.6444549078967,-0.123700914275787,-0.12307379874957386,0.006059405730759693,True,The algorithm converged to the desired accuracy.
4,2,4.0,3.0,17.317005389449108,-1649.5142161933964,-1649.3327161201519,-0.1815000732444787,-0.17953298084726296,0.01429538177877987,True,The algorithm converged to the desired accuracy.
4,2,4.0,4.0,21.9995858621203,-2904.2387403521357,-2903.89066862882,-0.3480717233155701,-0.33466434147122676,0.0005875106295467059,True,The algorithm converged to the desired accuracy.
4,2,4.0,5.0,26.672527295112317,-4624.854442026812,-4624.254130005325,-0.6003120214863884,-0.5372715573428495,0.0013699217017502097,True,The algorithm converged to the desired accuracy.
5,3,0.0,1.0,4.004814215760369,-16.04527571970737,-16.03853690275634,-0.0067388169510280704,-0.006738714945939934,3.131089741790355e-06,True,The algorithm converged to the desired accuracy.
5,3,0.0,1.5,6.889195902012731,-59.33111350886283,-59.32627522038626,-0.004838288476570085,-0.004838250723701542,4.005419261687848e-05,True,The algorithm converged to the desired accuracy.
5,3,0.0,2.0,9.685504349717437,-140.71883430292408,-140.7134917625931,-0.005342540330985912,-0.005342489501324711,0.0002935837913564665,True,The algorithm converged to the desired accuracy.
5,3,0.0,2.5,12.375632518635095,-268.03316106910756,-268.02349041352227,-0.009670655585296117,-0.009670354124911783,0.001571843876744694,True,The algorithm converged to the desired accuracy.
5,3,0.0,3.0,14.976520914576893,-448.61034707429206,-448.59235740951823,-0.01798966477383601,-0.01798772437171398,2.9395817672678466e-05,True,The algorithm converged to the desired accuracy.
5,3,0.0,4.0,19.98337949236825,-998.388480261013,-998.3386398400098,-0.0498404210031822,-0.049799192976885995,0.0002949614411077578,True,The algorithm converged to the desired accuracy.
5,3,0.0,5.0,24.81693293380975,-1847.7509903891448,-1847.6404807236331,-0.1105096655116995,-0.11006199002200537,0.0011410830878670897,True,The algorithm converged to the desired accuracy.
5,3,0.5,1.0,4.811349092667481,-40.51235186242122,-40.51089016014633,-0.001461702274887955,-0.0014617012338773764,0.00023761974944647157,True,The algorithm converged to the desired accuracy.
5,3,0.5,1.5,7.370831173862922,-108.66265917782627,-108.65830438717893,-0.004354790647340678,-0.0043547631191736035,3.2259404590671056e-06,True,The algorithm converged to the desired accuracy.
5,3,0.5,2.0,9.947591496087894,-222.65779453114578,-222.6477972893404,-0.009997241805393742,-0.009996908761118216,1.2428150194266838e-05,True,The algorithm converged to the desired accuracy.
